SMILES,IE,EA,n_F,n_O
c1ccc(-c2ccc(-c3ccccc3)s2)cc1,5.45097787,2.249397324,0,0
C=Cc1ccsc1C,5.788290291,1.459746894,0,0
Oc1cc(-c2ccnc(O)c2)ccn1,6.698854151,2.479105478,0,2
C[C@H]1CSCC[C@H]1N(C)C,5.256366785,0.565072969,0,0
CC(=O)NC1(C)CCSCC1,5.866666244,0.609045373,0,1
C[C@@H]1CCCS[C@@H]1N(C)C,5.308116856,0.494287797,0,0
O=C1c2ccccc2-c2cccc3cccc1c23,6.011087905,3.085939877,0,1
Cc1c(C)c(O)c(C)c(C)c1O,5.268199261,0.617275696,0,2
CC#CC,7.02436688,0.312849147,0,0
COc1ccc2nccnc2c1OC,5.676801063,2.643929978,0,2
Cc1cc(N)c2nccnc2c1,5.430085933,2.489796471,0,0
Cc1cc(-c2ccncc2)c(N)cn1,5.62545672,2.231932551,0,0
Cc1cccc2nc(C(=O)O)cnc12,6.681535945,3.152566828,0,2
Cc1cc(-c2ccncc2)cc(C(Cl)(Cl)Cl)n1,7.240734678,4.081777874,0,0
C[C@@H]1CCSC[C@@H]1N(C)C,5.169471277,0.629748052,0,0
C=Cc1cc(C)cs1,5.731006858,1.845518764,0,0
C=Cc1csc(C)c1,5.770083383,1.680076642,0,0
COc1cc(-c2ccnc(OC)c2)ccn1,6.587001097,2.443834795,0,2
Fc1cc(-c2ccncc2)c(F)cn1,7.266291006,2.721689645,2,0
ClC(Cl)(Cl)[C@@H]1C[C@H](C(Cl)(Cl)Cl)CCS1,6.757903409,3.669494586,0,0
Cc1ccc2c(c1)C(=O)c1cc(N)ccc1C2=O,5.898049321,3.406134051,0,2
[O]n1oon([O])c2cc3c(cc21)C(=O)c1ccccc1C3=O,6.150310174,7.646643707,0,6
Cc1cc(C(=O)O)cc2nccnc12,6.768539025,2.998502008,0,2
C=Cc1cccc2c1C(=O)c1cccc(C=C)c1C2=O,6.574357814,3.522763319,0,2
[CH2]C1=C(CC)C=[S]C1,5.264805199,1.543049509,0,0
O=C(O)c1ccc2ncc(C(=O)O)nc2c1,7.240139092,3.406973204,0,4
COc1cccc2c1C(=O)c1cccc(OC)c1C2=O,6.544256777,3.511743791,0,4
O[C@H]1SCCC[C@H]1O,6.19875914,1.03650467,0,2
C#Cc1ccc2c(c1C)C(=O)c1ccccc1C2=O,6.762832708,3.599935949,0,2
CO[C@]1(C)CCCCS1,5.849831649,0.549385247,0,1
CCc1cccc2ncc(C)nc12,6.419656223,2.522257622,0,0
COc1ccc(C)c2c1C(=O)c1ccccc1C2=O,6.325155357,3.440202669,0,3
CNc1c(C)ccc2c1C(=O)c1ccccc1C2=O,5.574237423,3.447697443,0,2
CC(=O)Nc1cnc2cccc(C)c2n1,6.265253386,2.609055586,0,1
c1ccc2c(c1)sc1ccccc12,5.984418229,1.709718242,0,0
CC(=O)Nc1cc(-c2ccncc2)cc(NC(C)=O)n1,6.267001884,2.637170151,0,2
C[C@@H]1C[C@H](O)CCS1,5.932807981,0.848203951,0,1
CC(=O)Nc1ccc2nc(C)cnc2c1,6.174661509,2.669282302,0,1
Cc1nc2ccccc2nc1C(=O)O,6.909021049,3.11036023,0,2
C#Cc1cscc1C#C,6.558219747,1.754575609,0,0
O=C(O)[C@@H]1CCCS[C@@H]1C(=O)O,6.391052245,1.669789079,0,4
C[C@H]1CSCC[C@H]1F,6.127604775,0.644725223,1,0
Cc1cc(C(=O)O)c2c(c1)C(=O)c1ccccc1C2=O,7.396376376,3.988143701,0,4
Cc1cscc1N,5.215128159,0.725522445,0,0
CNc1ccc2nc(C)cnc2c1,5.368161235,2.442033298,0,0
COc1cc(C)c2c(c1)C(=O)c1ccccc1C2=O,6.460680541,3.415158715,0,3
CC(=O)N[C@]1(C)CCCSC1,6.236196456,0.554348121,0,1
C[C@@H]1CCS[C@H](O)C1,6.275715619,0.550373499,0,1
CNc1c(-c2ccncc2)ccnc1C,5.503251029,2.225560848,0,0
O=C(O)c1cc2c(cc1C(=O)O)C(=O)c1ccccc1C2=O,7.531711056,3.912185972,0,6
O=C(O)c1ccc2c(c1)C(=O)c1cc(C(=O)O)ccc1C2=O,7.626938962,3.936464075,0,6
O=C(O)c1cscc1C(=O)O,7.046119282,2.228062347,0,4
ClC(Cl)(Cl)c1cnccc1C1=C[C@]2(C(Cl)(Cl)Cl)C=CN12,6.764252791,4.144636367,0,0
FC1(F)CCSCC1,6.376299485,0.474031768,2,0
Cc1cc(C(Cl)(Cl)Cl)cc2c1C(=O)c1ccccc1C2=O,7.22670638,3.697109844,0,2
C[C@@H]1CCS[C@H](C#N)C1,6.514245492,2.449485903,0,0
Cc1nc2ccccc2nc1N(C)C,5.602200502,2.328528341,0,0
C[C@@H]1CCSC[C@@H]1F,6.289229881,0.616125307,1,0
C=Cc1cscc1C,5.88615717,1.687956335,0,0
CCCC[N+](=O)[O-],7.93165292,3.011840941,0,2
CN1C[C@@H]([C]([NH])O)N(C)[C@@H](N(C)C)C1,5.635206778,0.380757471,0,1
CN[C@@]1(N(C)C)CN(C)CCN1C,5.225013064,0.023887778,0,0
C#C[C@@H]1CN(C)C[C@H](c2ccccc2)N1C,5.710004706,0.857748724,0,0
CN1CCN(C)[C@@]([C]([NH])O)(N(C)C)C1,5.629284565,0.323313976,0,1
CN1C[C@@H](c2ccccc2)N(C)C[C@H]1[C]([NH])O,5.89593216,0.685916447,0,1
CN1CCN(C)[C@@H](c2ccccc2)[C@H]1C#N,5.893791079,0.708605694,0,0
C#C[C@@H]1[C@H](CC)N(C)CCN1C,5.345949262,0.234949559,0,0
C=C[C@H]1[C@@H](C)N(C)CCN1C,5.256036272,0.39571068,0,0
CN1CCN(C)C(C(=N)O)(C(=N)O)C1,6.608633933,0.558117042,0,2
CN1CCN(C)[C@@](C#N)(c2ccccc2)C1,5.953167831,0.941369558,0,0
CC[C@@H]1CN(C)[C@H](c2ccccc2)CN1C,5.365040375,0.585814795,0,0
CN1C[C@@H](c2ccccc2)N(C)C[C@H]1C#N,5.838219999,0.632403743,0,0
CN1CCN(C)[C@@H](N(C)C)[C@H]1C#N,5.485177329,0.990253633,0,0
CN[C@@H]1CN(C)[C@H](c2ccccc2)CN1C,5.386619635,0.538871894,0,0
C=CSc1ccccc1,5.801640278,1.362864313,0,0
CN(C)[N][N]N(C)C,4.741804681,1.549386069,0,0
CCc1nccc(-c2ccncc2)c1C,6.837551968,2.196662329,0,0
C=Cc1nc2ccccc2nc1C,6.476023596,2.675134848,0,0
Cc1ccc2c(c1)C(=O)c1ccc(F)cc1C2=O,7.084041946,3.616923191,1,2
C[C@H]1CSCC[C@H]1c1ccccc1,5.88595841,0.700117393,0,0
C#Cc1cc(-c2ccnc(C)c2)ccn1,7.003307745,2.585310426,0,0
C[C@H]1CSC[C@@H](N(C)C)C1,5.210769448,0.563255297,0,0
C=Cc1cc(C=C)c2nccnc2c1,6.07419004,2.877225602,0,0
N#Cc1cccc(C(F)(F)F)c1,7.656311746,2.392883296,3,0
